listing_id,neighborhood_accuracy,num_reviews
20886482,43.0,3
10056496,51.436619718309856,71
19102527,30.3,20
11334091,38.91025641025641,78
14168664,48.48275862068966,87
9711934,48.35344827586207,116
16150461,61.166666666666664,6
19344027,51.63157894736842,19
2828803,60.10582010582011,189
16148992,76.25,24
20499955,22.0,1
19458014,28.166666666666668,6
15524772,41.175824175824175,91
14083611,35.95375722543353,173
15525369,39.361702127659576,47
15525301,31.597701149425287,87
15525488,32.1025641025641,78
20915446,16.0,3
15525006,25.37313432835821,67
18892243,23.0,1
17359540,32.13186813186813,91
15524846,26.6375,80
20783972,22.0,2
14065905,98.0,4
14574647,35.03448275862069,29
19056046,32.026315789473685,38
17359335,38.175925925925924,108
14072546,35.16062176165803,193
15536111,47.44285714285714,140
8134231,78.0,5
238846,58.40909090909091,44
15719599,42.104,125
21011302,25.0,1
7035556,89.76470588235294,51
14522917,41.91724137931035,145
19798391,26.296296296296298,27
20666793,35.0,4
14178758,42.6219512195122,82
20518688,25.1,10
20175220,48.733333333333334,15
15524898,25.882978723404257,94
20174317,41.666666666666664,3
8688811,45.11538461538461,26
7033732,49.638297872340424,188
20589237,51.25,4
16286570,37.96363636363636,110
16503419,224.0,1
15520235,55.666666666666664,6
14881574,22.1,20
12891323,82.0,8
8212817,23.0,2
16895403,92.33333333333333,3
21171599,61.0,1
15535385,39.75,160
4820071,41.94455066921606,523
14262627,44.17272727272727,110
15352809,30.18840579710145,69
7482338,44.016,125
15025907,49.52238805970149,67
14075290,30.03048780487805,164
16188028,60.5,12
10945407,36.88235294117647,17
14565888,48.541666666666664,24
14565879,42.95454545454545,22
19826939,27.384615384615383,13
20953959,30.0,2
20947073,68.33333333333333,3
11455804,49.0,4
1066742,48.808510638297875,47
8982616,36.58169934640523,153
8326439,113.75,4
6436334,57.12,50
7634067,31.416666666666668,12
8846849,24.75,4
6142396,37.98620689655172,145
2634361,52.90243902439025,82
13233001,63.0,1
11579622,46.94736842105263,38
1059604,57.75675675675676,37
6337106,38.19431279620853,211
9958026,27.90909090909091,22
8514932,54.55,20
12971157,3.5,2
